questions,option1,option2,option3,option4,option5,answer,explanation,type,section
"<b>সমদ্বিপার্শ্বীয় ভাকুলার বান্ডল কোনটিতে পাওয়া যায়?</b>",কুমড়া,Pteris,ধুতুরা,সেলাজিনেলা,,1,"<br />
<b>সমপার্শ্বীয় ভাস্কুলার বান্ডল: একবীজপত্রী ও দ্বিবীজপত্রী উদ্ভিদ কাণ্ডের ভাস্কুলার বান্ডল।  <br />
সমদ্বিপার্শ্বীয় ভাস্কুলার বান্ডল: লাউ ও কুমড়া।</b>",1,3
"<b>ক্রোমোজনীয় নৃত্য কোন দশায় দেখা যায়?</b>",প্রোফেজ,প্রোমেটাফেজ,মেটাফেজ,সবকয়টি,,2,"<br />
<b>প্রোমেটাফেজ পর্যায়ে ক্রোমোসোমের সেন্ট্রোমিয়ার স্পিন্ডল যন্ত্রের নির্দিষ্ট তন্ত্রর সাথে সংযুক্ত হয়। এসময় ক্রোমোসোম একটু আন্দোলিত হয় যাকে ক্রোমোজোমীয় নৃত্য বলা হয়।</b>",1,3
"<b>Sphincter পেশী কোন তন্ত্রের অংশ?</b>",স্নায়ুতন্ত্র,"রক্ত সংবহন তন্ত্র","পরিপাক তন্ত্র",শ্বসনতন্ত্র,,3,"<br />
<b>মানবদেহের পাকস্থলির কার্ডিয়াক ও পাইলোরিক অংশে একটি করে বৃত্তাকার পেশি বলয় আছে। এদেরকে যথাক্রমে কার্ডিয়াক ও পাইলোরিক স্ফিংটার বলে।</b>",1,3
"<b>কোষচক্র বন্ধ করার অভ্যন্তরীণ উদ্দীপনা প্রদান করে নিরে কোনটি?</b> ","সাইক্লিন CDR","সাইক্লিন Cdk-MPF",P⁵³,P²⁷,,3,"<br />
<b>P⁵³ প্রোটিন-  কোষকে বিভাজন হতে বিরত রাখায় ভূমিকা রাখে।  কোষচক্র বন্ধ করার অভ্যন্তরীণ উদ্দীপনা প্রদান করে।</b>",1,3
"<b>ইলেকট্রন-ট্রান্সপোর্ট সিস্টেম-এর কোন যৌগটির ইলেকট্রন গ্রহীতা হলো কপার?</b>",সাইটোক্রোম,NADP,প্লাস্টোসায়ানিন,ফেরিডক্সিন,,3,"<br />
<b>ফিয়োফাইটিন: একটি রূপান্তরিত ক্লোরোফিল-a অণু।  <br />
প্লাস্টোকুইনন: অতি ছোট চলনশীল লিপিড যা থাইলাকয়েড মেমব্রেনে মুক্তভাবে চলাচল করতে পারে।  <br />
সাইটোক্রোম: লৌহঘটিত হিম গ্রুপ বিশিষ্ট প্রোটিন।  <br />
প্লাস্টোসায়ানিন: অত্যন্ত চলনশীল একটি ক্ষুদ্র মেমব্রেন প্রোটিন। এর ইলেকট্রন গ্রহীতা গ্রুপ হলো কপার।  <br />
NADP: এটি একটি ফ্ল্যাভোপ্রোটিন এবং বাউন্ড কো-এনজাইম FAD। এর ফ্ল্যাভিন গ্রুপ হলো ইলেকট্রন গ্রহীতা।</b>",1,3
"<b>Bulliform কোষ কোন উদ্ভিদে থাকে?</b>",আখ,ভুট্টা,গম,সবকটিতে,,4,"<br />
<b>গম, ভুট্টা, আখ ইত্যাদি গাছের পাতার ত্বকে বুলিফর্ম (bulliform) কোষ থাকে। বুলিফর্ম কোষ হলো বৃহদাকৃতির কিছু ত্বকীয় কোষ।</b>",1,3
"<b>কোনটি পরিফেরা পর্বের প্রাণীর দেহে দেখা যায়?</b>",কোয়ানোসাইট,ইলাস্টিন,রাডুলা,ট্যাগমাটা,,1,"<br />
<b>Porifera পর্বের প্রাণীদের অন্তঃপ্রাচীরে কোয়ানোসাইট (Choanocyte) নামে বিশেষ ফ্ল্যাজেলাযুক্ত কোষে পরিবেষ্টিত এক বা একাধিক প্রকোষ্ঠ রয়েছে। প্রকোষ্ঠগুলো নালীতন্ত্রে মুক্ত।</b>",1,3
"<b>লিম্ফোসাইটের পরিপক্কতা নিয়ন্ত্রণ করে কোনটি?</b>",লিম্ফয়েড,অ্যাডেনয়েড,থাইমাস,অস্থিমজ্জা,,3,"<br />
<b>থাইমাস গ্রন্থি থাইমোসিন নামক একটি প্রোটিন জাতীয় হরমোন ক্ষরণ করে।  কাজ: রক্তে লিম্ফোসাইটের সংখ্যা বৃদ্ধি করা এবং অ্যান্টিবডি উৎপাদনে সহায়তা করা।</b>",1,3
"<b>কোন জিনের কারণে মোরগ-মুরগীর পালক সাদা বর্ণের হয়?</b>","সেমিলিথাল জিন","এপিস্ট্যাটিক জিন","হাইপোস্ট্যাটিক জিন","নন-অ্যালিলিক জিন",,2,"<br />
<b>এপিস্ট্যাসিস প্রক্রিয়ায় জিনের বৈশিষ্ট্য বাধাদানকারী জিনকে এপিস্ট্যাটিক জিন, আর বৈশিষ্ট্য প্রকাশে বাধাপ্রাপ্ত জিনকে হাইপোস্ট্যাটিক জিন বলে। সাদা লেগহর্ণ গোষ্ঠীর মোরগ-মুরগীতে রঙিন পালক সৃষ্টি ব্যাহত হয় এপিস্ট্যটিক জিনের (I) প্রভাবে।</b>",1,3
"<b>কোনটি সিলোমযুক্ত প্রাণী নয়?</b>",কৃমি,কেঁচো,শামুক,চিংড়ী,,1,"<br />
<b>অ্যাসিলোমেট/সিলোমবিহীন প্রাণী- নিডারিয়া (হাইড্রা, জেলিফিশ), পরিফেরা (স্পঞ্জ), টিনোফোরা এবং প্লাটিহেলমিনথেস্ (চ্যাপ্টা কৃমি)।</b>",1,3
"<b>Archaeopteryx কে কোন কোন শ্রেণীর যোগসূত্র বলা হয়?</b>","উভচর ও পাখি","উভচর ও সরীসৃপ","সরীসৃপ ও পাখি","কোনোটিই নয়",,3,"<br />
<b>Archaeopteryx: এটি একটি জীবাশ্ম। আদি পাখির নাম  আর্কিওপটেরিক্স। এদের কোনো সদস্য বর্তমানে জীবিত নেই। জুরাসিক যুগে এদের আবির্ভাব হয়েছিল। Archaeopteryx এর মধ্যে সরীসৃপ (Reptiles) ও পাখি (Aves) উভয় শ্রেণির কিছু বৈশিষ্ট্যের উপস্থিতির জন্য একে সংযোগকারী যোগসূত্র হিসেবে বিবেচনা করা হয়।</b>",1,3
"<b>চলনের সময় হাঁটুকে ভাজ করে কোন মাংসপেশী?</b>",ট্রাইসেপস,"রেকটাস ফিমোরিস","বাইসেপস ফিমোরিস",ডেল্টয়েড,,3,"<br />
<b>চলনের সময় হাঁটুকে ভাঁজ করে যে পেশী তার নাম বাইসেপস ফিমোরিস এবং অঙ্গকে প্রসারিত বা ছড়িয়ে দিতে সাহায্য করে ট্রাইসেপস পেশী।</b>",1,3
"<b>অগ্ন্যাশয়ের আলফা কোষ থেকে নিঃসৃত হয়-</b>","পেনক্রিয়াটিক পলিপেপটাইড",লাইপেজ,ইনস্যুলিন,গ্লুকাগন,,4,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-09-24/32434f8e-c65e-4cc7-98eb-41eabead6ae0-image.png"">",1,3
"<b>মাইক্রোভিলাইগুলো একত্রিতভাবে ক্ষুদ্রান্ত্রের উপরিভাগে কী সৃষ্টি করে?</b>","ব্রাশ বর্ডার","মিউকোসাল ফোল্ড",লুমেন,"পাইলোরিক স্ফিস্কটার",,1,"<br />
<b>মাইক্রোভিলাইগুলো একত্রিতভাবে ক্ষুদ্রান্ত্রের উপরিভাগে যে আকার সৃষ্টি করে তাকে ব্রাশ বর্ডার বলে। উল্লেখ্য যে, ক্ষুদ্রান্তে ভিলাই, গবলেট ও শোষণক্ষম কোষ থাকে। দা</b>",1,3
"<b>আলুর বিলম্বিত ধ্বসা রোগ সৃষ্টিকারী জীবাণু হলো-</b>",Mucor,Rhizopus,Penicillum,Phytopthora,,4,"<b>আলুর বিলম্বিত ধ্বসা রোগ সৃষ্টিকারী জীবাণুটি হলো Phytophthora infestans; যা একটি ছত্রাক। এই রোগে আক্রান্ত আলু গাছটির মাটির উপরের অংশটি দ্রুত মরে যায়। উল্লেখ্য যে; সাইনক্স বা অ্যামোনিয়াম থায়োসায়ানেট ঔষুধ প্রয়োগ করে আলুর এই রোগটি দমন করা যায়।</b>",1,3
"<b>হ্যাচ-স্ল্যাক পর্বে কার্বন-ডাই অক্সাইড গ্রহিতা কোনটি?</b>",রুবিস্কো,অক্সালোঅ্যাসিটেট,রাইবুলোজ,"ফসফোইনোল পাইরুভেট",,4,"<b>হ্যাচ ও স্ল্যাক চক্রের কিছু তথ্য: <br />
CO₂ এর গ্রহিতা হচ্ছে ফসফোইনোল পাইরুভিক এসিড।  <br />
প্রথম স্থায়ী পদার্থ- ৪ কার্বন বিশিষ্ট অক্সালো এসিটিক এসিড।  <br />
মেসোফিল ও বান্ডলশীথ ক্লোরোপ্লাস্ট দুটিরই প্রয়োজন হয়।  <br />
অপটিমাম বা পরম তাপমাত্রা ৩০০-৪৫°C</b>",1,3
"<b>মানুষের দেহকোষে কতটি অটোসোম থাকে?</b>","44 টি","23 টি","22 টি","46 টি",,1,"<br />
<b>মানুষের দেহে অটোসোম আছে- ২২ জোড়া।<br />
মানুষের দেহে ক্রোমোসোম আছে- ২৩ জোড়া।<br />
মানুষের দেহে সেক্স ক্রোমোসোম আছে- ১ জোড়া।</b>",1,3
"<b>পত্ররন্ধ্রের খোলা-বন্ধের ওপর প্রভাব বিস্তার করে কোনটি?</b>","রুট প্রেসার","অসমোটিক প্রেসার","টারজেন্ট প্রেসার","সাকসন প্রেসার",,2,"<br />
<b>পত্ররন্ধ্রে অবস্থিত রক্ষীকোষদ্বয়ের অভিস্রবণিক চাপের হ্রাস বৃদ্ধির ফলে পত্ররন্ধ্র খোলে এবং বন্ধ হয়। অর্থাৎ অভিস্রবণিক চাপ বা অসমোটিক প্রেসারের দ্বারাই পত্ররন্ধ্রের খোলা ও বন্ধ হওয়া নিয়ন্ত্রিত হয়।</b>",1,3
"<b>Cycas উদ্ভিদের শুক্রাণু কিরূপ?</b>",দ্বি-ফ্লাজেলাযুক্ত,ফ্লাজেলাবিহীন,"এক ফ্লাজেলাযুক্ত",বহু-ফ্লাজেলাযুক্ত,,4,"<br />
<b>Cycas উদ্ভিদ সম্পর্কে কিছু তথ্য:  <br />
এর মূলকে কোরালয়েড মূল বলে।<br />
একে জীবন্ত জীবাশ্ম বলা হয়।  <br />
অযৌন ও যৌন জনন প্রক্রিয়ায় এর জনন ক্রিয়া সম্পন্ন হয়।  <br />
এর শুক্রাণু হলো বহু-ফ্ল্যাজেলাযুক্ত এবং উদ্ভিদ কুলের মধ্যে সর্ববৃহৎ।</b>",1,3
"<b>I saw a ______ of monkeys in the forest.</b>",swarm,herd,group,flock,troop,5,"<br />
<b>কিছু গুরুত্বপূর্ণ Group words দেওয়া হল।  <br />
A troop of monkeys  <br />
A band of gorillas  <br />
A bunch of flowers  <br />
A swarm/drift/hive/erst of bees.  <br />
A herd of cattle/goats/giraffes/cranes.  <br />
A school of dolphins.  <br />
A shoal of fish.  <br />
A barren of mules.  <br />
A flock of sheep/birds.  <br />
Ans: E.</b>",1,5
"<b> _____ is hire a tutor who can help them with their math skills.</b>","What they do","What should they do","What they should do","What do they should","Whatever they should do",3,"<br />
<b>Fill in the gap এ Noun Clause হবে।</b>",1,5
"<b>The new teacher spoke so softly _____ we had to ask her to speak louder.</b>",and,that,what,who,,2,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2021-10-25/4a08eb57-a302-4988-8326-c18b1c3f30c4-image.png "">",1,5
"<b>I will not sing the song ______ you sing it with me.</b>",unless,because,lest,for,,1,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2021-10-25/10bce33c-f40e-4672-a197-29ca48da61be-image.png "">",1,5
"<b>These handkerchiefs are ______. Do not mix them up with ______.</b>","my, her","mine , hers","I, She","me, her's",,2,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2021-10-25/beb22aad-67e2-49b2-a492-ad6a1b3535ba-image.png"">",1,5
"<b>What does B.C.E. stands for?</b>","before Christ era","before the Christ era","before the common era","before common era",,4,"<br />
<b>B.C.E এর পূর্ণরূপ হলো Before Common  Era ।</b>",1,5
"<b>The train ______ late three times this week.</b>",is,"have been","is being","has been",,1,"<br />
<b>বাক্যে this day, this week etc থাকলে তা  সাধারণত present perfect tense কে নির্দেশ করে।</b>",1,5
"<b>If you ______ the environmental damage that plastic bags cause, the cost difference really _____ negligible.</b>","consider, will","will consider, is","would consider, will","consider, is",,4,"<br />
<b>If + present tense + sub + present  tense.</b>",1,5
"<b>Succeeding in college often is a challenge for students,             ______, most college provide services designed to help students.</b>",moreover,"in addition",therefore,"as a result",,3,"<br />
<b>Therefore এখানে একটি conjunction হিসেবে ব্যবহৃত হয়েছে যার অর্থ সুতরাং বা সেই জন্য।</b>",1,5
"<b>The work was finished ____ time and ____ budget.</b>","off, on","in, with","within, with","on, withtin",,4,"<br />
<b>On time - নির্দিষ্ট সময়ের মধ্যে, within budget - নির্ধারিত বাজেটের মধ্যে। কাজটি নির্দিষ্ট সময়ে নির্ধারিত বাজেটে শেষ হয়েছে।</b>",1,5
"<b>The troops mustered in front of the garrison. Here, the word 'muster' means-</b>","to find courage","to summon","to gather","to come",,3,"<br />
<b>Muster - জড়ো হওয়া (gather)।</b>",1,5
"<b>Не advised me ____ the doctor.</b>","that I see","to see",seeing,see,,2,"<br />
<b>Advise sb to do sth - কাউকে কোনো কিছু  করতে উপদেশ প্রদান করা।</b>",1,5
"<b>The child sat mute in the corner of the park.Here, 'mute' is a /an-</b>",Noun,Adjective,Adverb,Verb,,2,"<br />
<b>Noun বা pronoun কে নির্দেশ করলে সেটা adjective, mute এখানে child (noun) কে নির্দেশ করায় এটা adjective ।</b>",1,5
"<b>Which one is the correct spelling?</b>",chauffeur,chauffar,chaffcur,chuffeur,,1,"<b>Chauffeur - ব্যক্তিগত মোটরগাড়ির মাইনে করা চালক।</b>",1,5
"<b>Snorkelling is one kind of ----.</b>",diving,driving,walking,shooting,,1,"<br />
<b>Snorkeling - পানির নিচে সাঁতার কাটা। এটা diving (পানির নিচে ডুব দেওয়া) এর সাথে সম্পর্কিত।</b>",1,5
"<b>__________ the candidate did not have very good grades, he managed to impress the board with his wonderful art of communication. Choose the correct word for the gap:</b>",Even,Since,Though,Despite,,3,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2023-06-12/1bb3ff2f-45eb-4cf5-b529-43c0c999a835-image.png "">",1,5
"<b>""The old man gave up the ghost ."" means he:</b>",died,"fell sick","killed the ghost","recovered from illness",,1,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2023-06-12/429a0010-c49f-4f87-b4a4-16bab27d0585-image.png"">",1,5
"<b>Choose the correct sentence :</b>","It is I who am responsible for this.","It is me who am responsible for this.","It is me whom is responsible for this","It is I that is responsible for this .",,1,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2023-06-12/b91c7331-4a7d-4590-b469-9d60583a150b-image.png "">",1,5
"<b>Don't disturb a sleeping baby. Here ""sleeping"" is a :</b>",gergund,"verbal adjective","verbal noun","perfect participle",,2,"<br />
<b>কোন noun এর পূর্বে verb এর ing form বসে তা যদি adjective এর কাজ করে তাহলে তাকে verbal adjective বলা হয়। এখানে, sleeping baby বলতে baby - noun টির একটি অবস্থা নির্দেশ করছে। সুতরাং এখানে sleeping একটি verbal adjective.</b>",1,5
"<b>Give someone an inch and they'll take a mile. What does this saying mean in Bangla ?</b>","বসতে দিলে শুতে চায়","কেউ কেউ অল্পতেই তুষ্ট হয়","বিন্দু বিন্দু জলেই সিন্ধু হয়","ইঞ্চি ইঞ্চি মাপেই মাইল হয়",,1,"<br />
<b> ""Give someone aninch and they'll take a mile""  এর বাংলা অর্থ ""বসতে দিলে শুতে চায়”।</b>",1,5
"<b>He said to me, ""Do you know me?"" Its indirect speech is :</b>","He asked me if I know him.","He said to I know him.","He asked me if I knew him .","He asked me if I did know him.",,3,"<br />
<b>Present indefinite tense কে indirect করতে গেলে তা past indefinite এ করতে হয় এবং বাক্যটি যদি interrogative হয় এবং auxiliary দিয়ে শুরু হয় তবে উক্ত auxiliary উঠে গিয়ে if বসে।  সুতরাং এখানে indirect হবে- He asked me if I knew him.  Ans : C.</b>",1,5
"<b>He was born in 1980 . What kind of verb 'was born' is ?</b>",transtitive,intransitive,linking,non-finite,,2,"<br />
<b>যে verb এর অর্থ সম্পন্ন করতে object এর প্রয়োজন হয়, তাকে transitive verb বলে। সাধারণত, verb এর পরে কোন word না থাকলে বা verb এর পর adverb কিংবা শুধু preposition থাকলে verb টি নিশ্চিতভাবেই intransitive verb। প্রদত্ত sentence এ “in 1980"" - এটি object নয়, বরং adverb। তাই was born হলো intrasitive verb.</b>",1,5
"<b>It rained here yesterday, _____ . The appropriate tag question here will be:</b>","wasn't it ?","didn't it","did it?","isn't it?",,2,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2023-06-12/0dcd4c59-8f51-4a0a-a682-8406800fdb16-image.png"">",1,5
"<b>It was very thoughtful ____ you to send the letter on time. Choose the correct preposition:</b>",of,for,on,to,,1,"<b>Thoughtful of - কোন ব্যক্তি বা বস্তুর প্রতি বিশেষভাবে যত্নশীল হওয়া।  <br />
Example: It was thoughtful of you to send me flowers. অনুরূপভাবে, It was very thoughtful of you to send the letter on time.</b>",1,5
"<b>The flight is leaving shortly. Here 'shortly"" is :</b>","a complement","an object","a subject","an adverbial",,4,"<br />
<b>কোন word যদি verb কে modify করে তবে তা adverb. এখানে, the flight is leaving shortly. Shortly দ্বারা leave(verb) কে modify করা হচ্ছে। সুতরাং এটি adverb.</b>",1,5
"<b>(1 + i)(x + iy) = 2 + 4i হলে, '5x' এর মান কোনটি?</b>",11,13,14,15,,4,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2024-09-13/bd1d3f7f-8f58-4ff0-a98e-5f3b4c8ee9a9-image.png"">",1,4
"<b>একটি দ্বিঘাত সমীকরণের একটি মূল (1-2i) হলে সমীকরণটি-</b>",x²-2x+5=0,x²-2x+5=-1,x²-2x-5=0,x²+x-5=0,,1,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-17/6286ed34-a972-4863-a89d-2ab74d77cfe3-image.png ""><br />
<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2023-08-21/82ca03d6-7678-4584-8ce5-096e65679afb-image.png"">",1,4
"<b>9x²-16y²-18x-64y-199=0 বক্ররেখার জ্যামিতিক পরিচয় কোনটি?</b>",পরাবৃত্ত,উপবৃত্ত,বৃত্ত,অধিবৃত্ত,,4,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-17/fde2b0f4-96c4-4998-9dff-a9ab24d13ad1-image.png"">",1,4
"<b>k এর কোন মানের জন্য x²-6x+1+k(2x+1)=0 সমীকরণটির দুইটির মুল সমান হবে?</b>",-1,2,-2,1,,2,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-17/7fc45d89-8372-43b4-af2d-f864d2bb77da-image.png"">",1,4
"<b>4x²+4y²-8x-16y+19=0 বৃত্তের কেন্দ্রের স্থানাঙ্ক কত?</b>","(2,1)","(2,4)","(1,2)","(4,2)",,3,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2021-04-17%2Ff4c0eb59-db51-4c25-a403-c77ec923057e-image.png "">",1,4
"<b>1500m প্রশস্ত একটি নদী ঘন্টায় 5km/h বেগে প্রবাহিত হচ্ছে। একজন সাঁতারু ঘন্টায় 6km/h বেগে সাঁতার কেটে ন্যূনতম কত সময়ে নদীটি পার হতে পারবে?</b>",10min,15min,45sec,27min,,2,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2021-04-17%2Fb1b3337e-d907-41ab-bbaf-13c8373f9567-image.png "">",1,4
"<b>y=2x²+4x+17 হলে y এর সর্বনিম্ন মান কত?</b>",15,-1,17,23,,1,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2021-04-17%2F6fa6348a-beb0-4395-b4fb-1c5df873ec6f-image.png"">",1,4
"<b>k এর কোন মানের জন্য 2x²-kx+1=0 - এর একটি মূল অপর মূলের বর্গের চারগুণের সমান হবে?</b>",1/2,3,1,-3,,2,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-17/56e74491-2697-4999-ad3e-3f0f08fa5cd5-image.png "">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/251229091518.jpg"">",0,-1,2,1,,3,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-17/94c913b0-085b-40b4-a6ab-f7321f930a2d-image.png "">",1,4
"<b>কোনো একটি বিন্দুতে ক্রিয়ারত 2N ও 2√2 বলদ্বয়ের লব্ধি 2√5N হলে তাদের মধ্যবর্তী কোণ-</b>",135°,45°,225°,90°,,2,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-17/d8070810-de31-4dd1-8bdd-73cdbd734ea9-image.png"">",1,4
"<b>কোন বিন্দুর পোলার স্থানাঙ্ক (c,π) হলে বিন্দুটির কার্তেসীয় স্থানাঙ্ক কত?</b>","(-1,0)","(-c,0)","(c,-c)","(-c,c)",,2,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-17/49ca0a13-67d3-41c3-99e8-d39eab1fe039-image.png "">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/251229092036.jpg"">","(2, 16/3)","(2, –16/3)","(2, 14/3)","(3, 16/3)",,2,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-18/cc1db9db-440d-4bff-981d-d245f3ae2c7a-image.png"">",1,4
"<b>16x² + 25y² = 400 উপবৃত্তের উৎকেন্দ্রিকতা কোনটি?</b>",1/5,1/25,13/25,3/5,,4,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-18/2b44018c-7a74-40f0-a48f-5db1df766036-image.png "">",1,4
"<b>2x – 6y +4 = 0 রেখার উপর লম্ব রেখার সমীকরণ নিচের কোনটি যা (1, 1) বিন্দুগামী?</b>","3x + y – 4 = 0","3x – y + 4 = 0","6x + 2y – 4 = 0","6x + 6y + 4 = 0",,1,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-18/0521a5a7-2b69-4539-965d-921686b2d7f5-image.png "">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/251229092630.jpg"">",xyz,4xyz,2xyz,8xyz,,2,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-18/9fc60aee-5938-4496-82bd-8a23b9c7d7a8-image.png"">",1,4
"<b>ax² + bx + c = 0 সমীকরণের একটি মূল 0 হলে c এর মান কত?</b>",0,1,2,3,,1,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-18/a784c28e-b752-4dd5-a548-f6ed8d455b59-image.png"">",1,4
"<b>3P এবং 2P বলদ্বয়ের লব্ধি R। প্রথম বল দ্বিগুণ করলে লব্ধির পরিমাণও দ্বিগুণ হয়। বলদ্বয়ের অন্তর্গত কোণ কত?</b>",130°,120°,110°,100°,,2,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-18/c4ac0948-c394-458d-806a-dc1059fd1447-image.png"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/251229093238.jpg"">",1,2,–1,3,,1,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-18/585c2ad6-0ee0-4bab-af3e-7d152f113d13-image.png"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250402130612.jpg"">",√7,—7,1/7,—(1/7),,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250402130615.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250105194542.jpg"">",0,1,5,6,,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250105194546.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250105195913.jpg"">"," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250105195917.jpg"">"," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250105195921.jpg"">"," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250105195929.jpg"">"," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250105195933.jpg"">",,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250105195954.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250106071720.jpg"">"," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250106071725.jpg"">"," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250106071733.jpg"">"," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250106071737.jpg"">",none,,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250106071743.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250106082438.jpg"">",1/2,0,1/4,1/6,,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250106082441.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250115201334.jpg"">",1,2,0,-2,,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250115201347.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250115202319.jpg"">","2i,2iω,2iω<sup>2</sup>",(2i+1+ω)<sup>2</sup>,"±2i,±2iω,±2iω<sup>2</sup>",none,,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250115202323.jpg"">",1,4
